,Income,NumWebVisitsMonth,CustomerAge,Children,MntTotalProducts,NumTotalPurchases,Education_Graduation,Education_PostGraduation,Education_UnderGraduation,Marital_Status_Married,Dclust
0,58138.0,7,66,0,1269,21,1,0,0,0,0
1,46344.0,5,69,2,18,4,1,0,0,0,0
2,71613.0,4,58,0,602,11,1,0,0,1,0
3,26646.0,6,39,1,35,4,1,0,0,1,0
4,58293.0,5,42,1,334,13,0,1,0,1,0
5,62513.0,6,56,1,660,12,0,1,0,1,0
6,55635.0,6,52,1,464,14,1,0,0,0,0
7,33454.0,8,38,1,142,6,0,1,0,1,0
8,30351.0,9,49,1,38,4,0,1,0,1,0
9,7500.0,8,47,0,33,3,0,0,1,1,1
10,63033.0,2,64,0,735,8,1,0,0,0,0
11,59354.0,6,71,2,288,10,0,1,0,0,0
12,17323.0,8,36,0,34,2,1,0,0,1,0
13,82800.0,3,77,0,1143,14,0,1,0,0,0
14,41850.0,8,43,2,77,6,1,0,0,1,0
15,37760.0,7,77,0,127,7,1,0,0,1,0
16,76995.0,5,74,1,1590,17,0,1,0,1,0
17,33812.0,6,38,1,40,5,0,0,1,0,1
18,37040.0,8,41,0,161,7,1,0,0,1,0
19,58607.0,8,74,1,953,8,0,1,0,1,0
20,65324.0,4,69,1,486,11,0,1,0,1,0
21,40689.0,8,72,1,300,15,1,0,0,1,0
22,18589.0,7,54,0,35,5,1,0,0,0,0
23,53359.0,7,47,2,207,10,1,0,0,1,0
24,38360.0,3,34,1,80,5,1,0,0,1,0
25,84618.0,2,58,0,1585,16,0,1,0,1,0
26,10979.0,5,34,0,22,5,0,1,0,0,0
27,38620.0,3,60,0,173,8,0,1,0,1,0
28,40548.0,5,53,1,115,5,1,0,0,1,0
29,46610.0,6,71,2,204,11,0,1,0,0,0
30,68657.0,7,77,0,987,9,0,1,0,1,0
31,49389.0,7,72,2,59,3,0,1,0,0,0
32,67353.0,2,53,1,870,16,0,1,0,1,0
33,23718.0,7,47,1,23,7,0,0,1,1,1
34,42429.0,5,50,1,61,4,1,0,0,0,0
35,48948.0,6,80,0,651,19,0,1,0,0,0
36,80011.0,4,43,1,1033,16,1,0,0,1,0
37,20559.0,8,38,1,43,4,0,1,0,1,0
38,21994.0,5,66,1,15,1,1,0,0,1,0
39,7500.0,5,48,1,14,5,0,1,0,1,0
40,79941.0,1,47,0,553,7,1,0,0,0,0
41,7500.0,9,27,0,35,7,0,0,1,1,1
42,41728.0,10,55,1,34,3,1,0,0,1,0
43,72550.0,8,69,2,1193,16,0,1,0,1,0
44,65486.0,2,66,1,389,7,1,0,0,0,0
45,79143.0,3,59,0,1467,16,0,1,0,1,0
46,35790.0,7,46,1,38,4,1,0,0,0,0
47,82582.0,1,46,0,1180,14,1,0,0,0,0
48,66373.0,3,45,2,461,13,1,0,0,1,0
49,82384.0,1,68,0,1467,14,0,1,0,1,0
50,70287.0,3,57,0,812,11,1,0,0,0,0
51,27938.0,3,35,1,21,2,1,0,0,0,0
52,55954.0,7,55,1,475,13,0,1,0,1,0
53,75777.0,1,41,0,1276,10,0,1,0,0,0
54,66653.0,3,48,2,572,10,1,0,0,1,0
55,61823.0,7,71,1,664,14,1,0,0,0,0
56,67680.0,5,72,1,594,11,0,1,0,0,0
57,70666.0,4,75,0,805,12,1,0,0,1,0
58,25721.0,7,52,1,10,3,1,0,0,1,0
59,32474.0,7,56,2,11,2,1,0,0,1,0
60,88194.0,5,44,1,1011,22,0,0,1,0,1
61,69096.0,4,65,1,455,8,1,0,0,1,0
62,74854.0,5,53,3,1402,14,1,0,0,1,0
63,66991.0,3,69,0,992,15,0,1,0,1,0
64,65031.0,7,64,1,656,17,1,0,0,1,0
65,60631.0,7,48,2,636,16,0,1,0,1,0
66,28332.0,2,71,0,37,4,1,0,0,1,0
67,40246.0,6,46,1,9,2,1,0,0,0,0
68,75251.0,5,51,0,1757,14,0,1,0,1,0
69,75825.0,4,47,0,1916,13,1,0,0,0,0
70,26326.0,3,47,0,6,1,0,0,1,1,1
71,56046.0,8,58,0,641,13,1,0,0,1,0
72,29760.0,8,38,1,136,8,1,0,0,0,0
73,26304.0,7,54,1,10,2,1,0,0,1,0
74,23559.0,7,50,1,49,6,0,0,1,1,1
75,38620.0,3,60,0,173,8,0,1,0,1,0
76,81361.0,1,36,0,610,14,1,0,0,0,0
77,29440.0,7,63,2,39,3,1,0,0,1,0
78,36138.0,7,53,2,146,9,0,1,0,1,0
79,50388.0,7,66,1,335,11,1,0,0,0,0
80,79593.0,2,50,0,978,12,1,0,0,1,0
81,54178.0,2,56,1,183,5,1,0,0,1,0
82,42394.0,7,51,1,27,2,0,1,0,0,0
83,23626.0,5,53,1,43,7,0,1,0,1,0
84,30096.0,6,40,1,19,3,1,0,0,1,0
85,47916.0,6,63,1,531,16,1,0,0,0,0
86,51813.0,7,51,2,60,4,1,0,0,0,0
87,78497.0,2,72,0,680,13,0,0,1,1,1
88,50150.0,5,40,0,273,9,0,1,0,1,0
89,47823.0,8,63,1,59,4,0,0,1,0,1
90,34554.0,6,64,1,48,4,0,1,0,0,0
91,85693.0,5,44,1,741,16,1,0,0,1,0
92,65846.0,4,78,0,919,10,0,1,0,1,0
93,87195.0,1,64,0,983,15,1,0,0,1,0
94,24594.0,5,44,1,10,2,0,0,1,1,1
95,49096.0,7,59,2,177,9,1,0,0,1,0
96,52413.0,6,54,2,672,14,1,0,0,1,0
97,38557.0,7,45,1,110,6,1,0,0,0,0
98,89058.0,2,63,0,754,10,0,1,0,1,0
99,77298.0,3,44,1,832,13,1,0,0,1,0
100,68126.0,9,32,0,1660,12,0,1,0,0,0
101,57288.0,6,60,1,548,12,0,1,0,1,0
102,86037.0,3,32,0,659,14,1,0,0,0,0
103,43974.0,7,43,1,479,15,0,1,0,1,0
104,50785.0,6,61,2,86,5,1,0,0,0,0
105,90765.0,1,53,0,1458,10,1,0,0,1,0
106,36550.0,9,45,1,231,15,0,0,1,1,1
107,30753.0,5,56,2,42,4,0,0,1,1,1
108,21918.0,6,54,1,14,4,1,0,0,1,0
109,56129.0,4,70,1,501,12,0,1,0,1,0
110,32557.0,5,56,1,66,6,0,1,0,0,0
111,19510.0,7,38,2,16,3,0,1,0,1,0
112,30992.0,7,47,1,31,2,1,0,0,0,0
113,101970.0,2,40,0,851,14,1,0,0,0,0
114,71488.0,1,58,0,319,9,0,0,1,1,1
115,79607.0,1,39,0,1534,10,1,0,0,0,0
116,54348.0,6,70,2,86,4,0,1,0,1,0
117,77376.0,4,67,2,621,13,0,1,0,1,0
118,62998.0,5,71,1,251,14,1,0,0,1,0
119,61331.0,8,65,2,586,17,0,1,0,0,0
120,73448.0,4,54,0,531,10,1,0,0,1,0
121,41551.0,8,59,2,253,11,0,1,0,1,0
122,62981.0,3,56,0,1400,10,0,1,0,1,0
123,9548.0,8,47,1,4,3,0,0,1,0,1
124,33762.0,8,64,3,88,7,0,1,0,1,0
125,35860.0,5,50,2,23,4,0,1,0,0,0
126,36921.0,7,58,2,30,4,0,1,0,0,0
127,92859.0,2,31,0,1944,10,0,1,0,0,0
128,65104.0,7,47,1,970,10,0,1,0,1,0
129,86111.0,2,61,0,1183,13,1,0,0,1,0
130,68352.0,6,49,1,762,16,0,1,0,0,0
131,41883.0,7,35,1,107,9,1,0,0,1,0
132,59809.0,8,47,2,755,9,1,0,0,1,0
133,23957.0,6,48,1,21,3,1,0,0,1,0
134,38547.0,8,42,1,17,2,1,0,0,1,0
135,35688.0,8,50,3,166,12,0,0,1,1,1
136,49605.0,3,57,0,87,4,0,1,0,1,0
137,59354.0,3,70,2,394,9,0,1,0,1,0
138,65747.0,6,54,1,411,13,1,0,0,1,0
139,46344.0,7,51,1,310,12,0,0,1,1,1
140,34176.0,6,35,1,36,7,1,0,0,0,0
141,61010.0,5,71,1,945,15,0,1,0,1,0
142,69372.0,4,74,0,1292,15,1,0,0,1,0
143,49967.0,7,65,1,287,10,1,0,0,0,0
144,60199.0,4,45,3,16,1,1,0,0,0,0
145,55375.0,2,46,1,110,3,1,0,0,1,0
146,80317.0,1,68,0,934,8,1,0,0,0,0
147,30523.0,7,65,3,8,2,0,1,0,0,0
148,70356.0,6,78,0,1614,18,0,1,0,1,0
149,23228.0,8,39,1,105,7,1,0,0,1,0
150,74165.0,2,48,0,1253,10,0,1,0,0,0
151,43482.0,6,57,3,51,5,1,0,0,1,0
152,62551.0,3,70,0,239,14,1,0,0,0,0
153,52332.0,4,64,0,250,6,1,0,0,0,0
